File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF732HOE	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000EWG	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	GATA2	DNA	NA	NA	NA	NA	NA	2011-10-29	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF163ZFQ/, /files/ENCFF001TDO/, /files/ENCFF717ZNF/, /files/ENCFF061TTI/	185950	ENCODE Processing Pipeline	0a5986cb974e654436fe293de05e5274	NA	https://www.encodeproject.org/files/ENCFF732HOE/@@download/ENCFF732HOE.bed.gz	NA	NA	NA	released	s3://encode-public/2017/02/14/3e47b0dc-578a-476a-9d65-7c6d7ae33cc6/ENCFF732HOE.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/02/14/3e47b0dc-578a-476a-9d65-7c6d7ae33cc6/ENCFF732HOE.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	NA	insufficient read length, insufficient replicate concordance, insufficient read depth	NA
ENCFF085HTY	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000BPJ	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	CTCF	DNA	NA	NA	NA	NA	NA	2012-02-29	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF235AXH/, /files/ENCFF001TDO/, /files/ENCFF443OXB/, /files/ENCFF815GMT/	795526	ENCODE Processing Pipeline	ef53728caa8d0b461eed1f1fd335edf4	NA	https://www.encodeproject.org/files/ENCFF085HTY/@@download/ENCFF085HTY.bed.gz	NA	NA	NA	released	s3://encode-public/2017/12/19/7e39899e-b6ee-42ac-8ec8-f704d619ceb9/ENCFF085HTY.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/12/19/7e39899e-b6ee-42ac-8ec8-f704d619ceb9/ENCFF085HTY.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	mild to moderate bottlenecking, low read length, control low read depth, low read depth, moderate library complexity	insufficient read depth	NA
ENCFF833FCO	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000BLO	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	GABPA	DNA	NA	NA	NA	NA	NA	2011-07-18	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF442HXQ/, /files/ENCFF001TDO/, /files/ENCFF961HHN/, /files/ENCFF276DPB/	265021	ENCODE Processing Pipeline	c99ce128576687bc8a287943d3473029	NA	https://www.encodeproject.org/files/ENCFF833FCO/@@download/ENCFF833FCO.bed.gz	NA	NA	NA	released	s3://encode-public/2017/12/08/0aafbb20-d5b7-4452-b28d-afbb4797055a/ENCFF833FCO.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/12/08/0aafbb20-d5b7-4452-b28d-afbb4797055a/ENCFF833FCO.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length, mild to moderate bottlenecking, moderate library complexity	control insufficient read depth, poor library complexity, insufficient read depth, severe bottlenecking	NA
ENCFF337DKJ	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000EGN	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	JUND	DNA	NA	NA	NA	NA	NA	2011-10-29	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF001TDO/, /files/ENCFF844LUC/, /files/ENCFF159IRT/, /files/ENCFF367HPL/	761693	ENCODE Processing Pipeline	3a2d773ef2c1c39f7ac48b0924f2febe	NA	https://www.encodeproject.org/files/ENCFF337DKJ/@@download/ENCFF337DKJ.bed.gz	NA	NA	NA	released	s3://encode-public/2016/12/13/c9ad1686-e9f9-4d22-b5af-7243a65313e9/ENCFF337DKJ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2016/12/13/c9ad1686-e9f9-4d22-b5af-7243a65313e9/ENCFF337DKJ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length, improper control_type of control experiment, low read depth, borderline replicate concordance	NA	NA
ENCFF577UJR	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000BNV	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	MEF2A	DNA	NA	NA	NA	NA	NA	2011-07-18	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF435ESC/, /files/ENCFF825VQR/, /files/ENCFF001TDO/, /files/ENCFF307TQZ/	22863	ENCODE Processing Pipeline	5e9c735464c7e63dba6ce09405a9eec0	NA	https://www.encodeproject.org/files/ENCFF577UJR/@@download/ENCFF577UJR.bed.gz	NA	NA	NA	released	s3://encode-public/2017/12/08/d9df8f42-07fd-430f-9562-d329b8441888/ENCFF577UJR.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/12/08/d9df8f42-07fd-430f-9562-d329b8441888/ENCFF577UJR.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length, mild to moderate bottlenecking, low read depth, moderate library complexity	control insufficient read depth	NA
ENCFF517YCC	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000EFO	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	CUX1	DNA	NA	NA	NA	NA	NA	2012-08-20	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF599SPU/, /files/ENCFF001TDO/, /files/ENCFF675GZY/, /files/ENCFF725FYI/	119496	ENCODE Processing Pipeline	2b856671dd29071ba3eec1e8a4e8f69d	NA	https://www.encodeproject.org/files/ENCFF517YCC/@@download/ENCFF517YCC.bed.gz	NA	NA	NA	released	s3://encode-public/2017/12/09/1357030b-4b29-431f-840c-a7445f7f00bd/ENCFF517YCC.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/12/09/1357030b-4b29-431f-840c-a7445f7f00bd/ENCFF517YCC.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length, improper control_type of control experiment	NA	NA
ENCFF422NGZ	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000BLP	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	MAX	DNA	NA	NA	NA	NA	NA	2011-07-18	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF001TDO/, /files/ENCFF609KEQ/, /files/ENCFF280XEL/, /files/ENCFF922CBN/	1024235	ENCODE Processing Pipeline	747de7bd157b52cb8b23dbf18917e54a	NA	https://www.encodeproject.org/files/ENCFF422NGZ/@@download/ENCFF422NGZ.bed.gz	NA	NA	NA	released	s3://encode-public/2017/12/08/c0873f63-84e3-4755-8233-3c9017561831/ENCFF422NGZ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/12/08/c0873f63-84e3-4755-8233-3c9017561831/ENCFF422NGZ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	mild to moderate bottlenecking, low read length, control low read depth, low read depth, moderate library complexity	NA	NA
ENCFF929YBC	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000DKA	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	insertion	{'dbxrefs': ['FactorBook:GATA2'], 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/2624/'], '@type': ['Target', 'Item'], 'label': 'GATA2', 'title': 'GATA2 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'b8704d5e-0fac-4407-9f75-9054294d8ff9', 'schema_version': '14', 'name': 'GATA2-human', '@id': '/targets/GATA2-human/', 'status': 'released'}	NA	NA	NA	GATA2	DNA	NA	NA	NA	NA	NA	2011-06-03	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF001TDO/, /files/ENCFF185LGX/, /files/ENCFF444LYN/, /files/ENCFF766MMM/	366797	ENCODE Processing Pipeline	c240b9984e20cb1538912c0c4aa2b41c	NA	https://www.encodeproject.org/files/ENCFF929YBC/@@download/ENCFF929YBC.bed.gz	NA	NA	NA	released	s3://encode-public/2016/11/15/b3cf10cb-bc6b-40bf-a5a4-5f38cdcea36a/ENCFF929YBC.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2016/11/15/b3cf10cb-bc6b-40bf-a5a4-5f38cdcea36a/ENCFF929YBC.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length, missing biosample characterization, missing genetic modification reagents, missing genetic modification characterization	insufficient replicate concordance	NA
ENCFF002CXC	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000EGX	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	MAFK	DNA	NA	NA	NA	NA	NA	2011-10-29	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF000YSW/, /files/ENCFF000YSY/	490515	ENCODE Consortium Analysis Working Group	a22f865a9c3be78243d4c596c899686a	NA	https://www.encodeproject.org/files/ENCFF002CXC/@@download/ENCFF002CXC.bed.gz	NA	NA	NA	archived	s3://encode-public/2014/06/06/1238b581-edbf-4c40-b2a5-dc9285405a41/ENCFF002CXC.narrowPeak.gz	https://datasetencode.blob.core.windows.net/dataset/2014/06/06/1238b581-edbf-4c40-b2a5-dc9285405a41/ENCFF002CXC.narrowPeak.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived	low read length, improper control_type of control experiment	NA	NA
ENCFF812QPN	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000EGX	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	MAFK	DNA	NA	NA	NA	NA	NA	2011-10-29	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF001TDO/, /files/ENCFF887IBL/, /files/ENCFF072BMK/, /files/ENCFF660EKS/	482148	ENCODE Processing Pipeline	9508b48c5610d3882fe8c0e0e9bbd23e	NA	https://www.encodeproject.org/files/ENCFF812QPN/@@download/ENCFF812QPN.bed.gz	NA	NA	NA	released	s3://encode-public/2016/08/23/07aa6571-b32e-4133-9ce7-f4f0a89b6017/ENCFF812QPN.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2016/08/23/07aa6571-b32e-4133-9ce7-f4f0a89b6017/ENCFF812QPN.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length, improper control_type of control experiment	NA	NA
ENCFF423EMU	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000EGD	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	BACH1	DNA	NA	NA	NA	NA	NA	2012-05-14	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF001TDO/, /files/ENCFF276CQA/, /files/ENCFF107CCL/, /files/ENCFF091TOR/	88613	ENCODE Processing Pipeline	4a5e60199fc2e91ed05449790c0ead65	NA	https://www.encodeproject.org/files/ENCFF423EMU/@@download/ENCFF423EMU.bed.gz	NA	NA	NA	released	s3://encode-public/2016/12/14/a145b1bd-010c-4421-8d86-ed8a4cfaf763/ENCFF423EMU.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2016/12/14/a145b1bd-010c-4421-8d86-ed8a4cfaf763/ENCFF423EMU.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length, mild to moderate bottlenecking, improper control_type of control experiment, low read depth	NA	NA
ENCFF328XKC	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000BMH	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	YY1	DNA	NA	NA	NA	NA	NA	2011-07-18	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF720DVS/, /files/ENCFF001TDO/, /files/ENCFF223XFI/, /files/ENCFF701OSU/	497639	ENCODE Processing Pipeline	01d30b98e8410f018839a27847bfd7fc	NA	https://www.encodeproject.org/files/ENCFF328XKC/@@download/ENCFF328XKC.bed.gz	NA	NA	NA	released	s3://encode-public/2017/12/08/92d75623-a87d-4290-9489-725366f0fb0f/ENCFF328XKC.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/12/08/92d75623-a87d-4290-9489-725366f0fb0f/ENCFF328XKC.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	mild to moderate bottlenecking, low read length, control low read depth, low read depth, moderate library complexity	insufficient replicate concordance, insufficient read depth	NA
ENCFF558VPP	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000BMW	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	REST	DNA	NA	NA	NA	NA	NA	2011-07-18	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF051ITR/, /files/ENCFF001TDO/, /files/ENCFF621KLV/, /files/ENCFF764CZH/	239761	ENCODE Processing Pipeline	810c09de8b3c3fe318e8643e8c5b7e2a	NA	https://www.encodeproject.org/files/ENCFF558VPP/@@download/ENCFF558VPP.bed.gz	NA	NA	NA	released	s3://encode-public/2017/12/08/1e4ebb53-1531-4c95-8d95-0e143c334be0/ENCFF558VPP.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/12/08/1e4ebb53-1531-4c95-8d95-0e143c334be0/ENCFF558VPP.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	mild to moderate bottlenecking, low read length, borderline replicate concordance, low read depth, moderate library complexity	control insufficient read depth, poor library complexity, insufficient read depth, severe bottlenecking	NA
ENCFF284LRP	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR106FRG	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	TAL1	DNA	NA	NA	NA	NA	NA	2016-06-14	ENCODE	NA	NA	450-650	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF106RGY/, /files/ENCFF808YAS/, /files/ENCFF001TDO/, /files/ENCFF435YKY/	490842	ENCODE Processing Pipeline	3c526cb3b4923a306e8fa5fbc8fc4dd0	NA	https://www.encodeproject.org/files/ENCFF284LRP/@@download/ENCFF284LRP.bed.gz	NA	NA	NA	released	s3://encode-public/2017/03/06/966f5cef-eb1a-4919-bc9f-f0c282010e6e/ENCFF284LRP.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/03/06/966f5cef-eb1a-4919-bc9f-f0c282010e6e/ENCFF284LRP.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	mild to moderate bottlenecking	NA	NA
ENCFF573DRR	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR414TYY	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	RUNX1	DNA	NA	NA	NA	NA	NA	2014-07-07	ENCODE	NA	NA	450-650	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF246CBF/, /files/ENCFF001TDO/, /files/ENCFF083XOF/, /files/ENCFF401PPU/	100617	ENCODE Processing Pipeline	5fd41070314178340b7f951075c763b4	NA	https://www.encodeproject.org/files/ENCFF573DRR/@@download/ENCFF573DRR.bed.gz	NA	NA	NA	released	s3://encode-public/2018/02/26/2f806b99-07b0-4912-93f2-c7682ed8950f/ENCFF573DRR.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/02/26/2f806b99-07b0-4912-93f2-c7682ed8950f/ENCFF573DRR.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	mild to moderate bottlenecking, low read depth, moderate library complexity	NA	NA
ENCFF804ABO	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR414TYY	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	RUNX1	DNA	NA	NA	NA	NA	NA	2014-07-07	ENCODE	NA	NA	450-650	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF436PYK/, /files/ENCFF001TDO/, /files/ENCFF826RWZ/, /files/ENCFF766PWX/	82785	ENCODE Processing Pipeline	148481b2344282d1938e29f26cd718b8	NA	https://www.encodeproject.org/files/ENCFF804ABO/@@download/ENCFF804ABO.bed.gz	NA	NA	NA	archived	s3://encode-public/2017/03/06/192743fa-8518-46b6-9b4a-01cb82437a5f/ENCFF804ABO.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/03/06/192743fa-8518-46b6-9b4a-01cb82437a5f/ENCFF804ABO.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	NA	NA	mild to moderate bottlenecking, low read depth, moderate library complexity	NA	NA
ENCFF429XKT	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000EHE	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	CEBPB	DNA	NA	NA	NA	NA	NA	2011-10-29	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF143EHM/, /files/ENCFF001TDO/, /files/ENCFF206BMO/, /files/ENCFF755NTM/	766395	ENCODE Processing Pipeline	88c12b16ffd687378e1854b5f80644c8	NA	https://www.encodeproject.org/files/ENCFF429XKT/@@download/ENCFF429XKT.bed.gz	NA	NA	NA	released	s3://encode-public/2017/12/13/fb14b8e2-9dae-4b3c-bac0-75ca20ffc2b6/ENCFF429XKT.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/12/13/fb14b8e2-9dae-4b3c-bac0-75ca20ffc2b6/ENCFF429XKT.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length, improper control_type of control experiment, low read depth	NA	NA
ENCFF475TQE	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000BNU	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ATF3	DNA	NA	NA	NA	NA	NA	2011-07-18	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF001TDO/, /files/ENCFF251XOI/, /files/ENCFF015HEH/, /files/ENCFF146YXX/	128953	ENCODE Processing Pipeline	146c148cf8221517c340d416403eefc1	NA	https://www.encodeproject.org/files/ENCFF475TQE/@@download/ENCFF475TQE.bed.gz	NA	NA	NA	released	s3://encode-public/2017/12/08/30718385-c47b-4af5-ab60-98960df71a18/ENCFF475TQE.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/12/08/30718385-c47b-4af5-ab60-98960df71a18/ENCFF475TQE.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	mild to moderate bottlenecking, low read length, borderline replicate concordance, low read depth, moderate library complexity	control insufficient read depth	NA
ENCFF255EOB	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000BRS	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	NR2F2	DNA	NA	NA	NA	NA	NA	2012-02-29	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF952DON/, /files/ENCFF001TDO/, /files/ENCFF829WNA/, /files/ENCFF622IDZ/	359095	ENCODE Processing Pipeline	261091a7cd8dcdf58adf98e3c6d32d2b	NA	https://www.encodeproject.org/files/ENCFF255EOB/@@download/ENCFF255EOB.bed.gz	NA	NA	NA	released	s3://encode-public/2017/12/08/9145f38b-0ed4-499e-be01-46f3383238c2/ENCFF255EOB.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/12/08/9145f38b-0ed4-499e-be01-46f3383238c2/ENCFF255EOB.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	mild to moderate bottlenecking, low read length, inconsistent platforms, low read depth, moderate library complexity	NA	NA
ENCFF493ABN	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR998AJK	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	NRF1	DNA	NA	NA	NA	NA	NA	2014-07-07	ENCODE	NA	NA	450-650	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF001TDO/, /files/ENCFF406JKC/, /files/ENCFF113EKC/, /files/ENCFF288BMB/	684973	ENCODE Processing Pipeline	d5fff8c03ee7b8067da264cb490f4327	NA	https://www.encodeproject.org/files/ENCFF493ABN/@@download/ENCFF493ABN.bed.gz	NA	NA	NA	released	s3://encode-public/2018/02/26/050ae1db-a360-480f-a136-15a3c77c585c/ENCFF493ABN.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/02/26/050ae1db-a360-480f-a136-15a3c77c585c/ENCFF493ABN.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	mild to moderate bottlenecking	NA	NA
ENCFF809MSQ	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR998AJK	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	NRF1	DNA	NA	NA	NA	NA	NA	2014-07-07	ENCODE	NA	NA	450-650	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF001TDO/, /files/ENCFF263SML/, /files/ENCFF978MYZ/, /files/ENCFF138RWJ/	603740	ENCODE Processing Pipeline	c5c300d8c24705b1cf027b0ddc4468af	NA	https://www.encodeproject.org/files/ENCFF809MSQ/@@download/ENCFF809MSQ.bed.gz	NA	NA	NA	archived	s3://encode-public/2017/03/06/969cc31a-268e-46e0-a85b-b99e71f07234/ENCFF809MSQ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/03/06/969cc31a-268e-46e0-a85b-b99e71f07234/ENCFF809MSQ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	NA	NA	mild to moderate bottlenecking	NA	NA
